ts,brainpool_price,V1 no-import (rerun),V1 with-import (original),"V1 with-import (FIXED, 37.65k - FINAL)","V1 with-import (FIXED, 30k - rejected)",V2 no-import (rerun),V2 with-import (original),V2 with-import (37.65k - superseded),"V2 with-import (FIXED, 30k - FINAL)"
2027-05-31 17:00:00,80.24784088134766,99.08522871734635,79.11239410517412,78.89,78.89,89.9907173151832,78.89,78.89,78.89
2027-05-31 18:00:00,80.50747680664062,3000.0,128.46195813443933,85.0,85.0,150.57820914852576,85.0,85.0,85.0
2027-05-31 19:00:00,80.50747680664062,3000.0,3000.0,105.0,105.0,129.61407708437525,105.0,105.0,105.0
2027-05-31 20:00:00,75.95853424072266,3000.0,155.8723638313836,96.93,96.93,81.92110775032279,81.92110775032279,81.92110775032279,81.92110775032279
2027-05-31 21:00:00,72.82865905761719,3000.0,145.26687476745903,94.31,94.31,75.05014786924689,75.05014786924689,75.05014786924689,75.05014786924689
2027-05-31 22:00:00,67.13892364501953,153.38250898863555,131.0836369743276,83.13,83.13,74.1367521763592,74.1367521763592,72.68359435163225,72.68359435163225
2027-05-31 23:00:00,54.84932327270508,80.22878963330459,80.22878963330459,80.22878963330459,80.22878963330459,73.22690625170237,73.22690625170237,72.9152694447667,72.9152694447667
2027-06-01 00:00:00,67.12590789794922,61.47940353799528,61.47940353799528,61.47940353799528,61.47940353799528,71.46308381564843,71.46308381564843,71.46308381564843,71.46308381564843
2027-06-01 01:00:00,67.12590789794922,0.0,0.0,-4.834675491731437,-0.8329417605696534,69.56726764691419,69.56726764691419,69.56726764691419,69.56726764691419
2027-06-01 02:00:00,74.0699691772461,0.0,0.0,-5.089132096538172,-0.8537231800957343,69.56665662891918,64.01,64.01,64.01
2027-06-01 03:00:00,75.31169128417969,0.0,0.0,-5.089132096538172,-0.8537231800957343,71.72044046183998,67.21,67.21,67.21
2027-06-01 04:00:00,83.36035919189453,0.0,0.0,-5.089132096538172,-0.8537231800957343,73.89384249863032,72.27,72.27,72.27
2027-06-01 05:00:00,83.56571960449219,0.0,0.0,-5.089132096538172,-0.8537231800957343,73.16632175659922,73.16632175659922,73.16632175659922,73.16632175659922
2027-06-01 06:00:00,78.30361938476562,0.0,0.0,-5.089132096538172,-0.8537231800957343,41.73848548861963,41.73848548861963,41.73848548861963,41.73848548861963
2027-06-01 07:00:00,54.84932327270508,0.0,0.0,-5.089132096538172,-0.8537231800957343,0.0,0.0,-2.602182535765195,-2.3869333553697416
2027-06-01 08:00:00,10.0,0.0,0.0,-32.24973129197939,-32.02835012374377,-3.721438490452435,-0.8105946825844725,-27.646780593500136,-27.58252294198213
2027-06-01 09:00:00,7.575757503509521,0.0,0.0,-32.24973129197939,-32.02835012374377,-3.721438490452435,-0.8105946825844725,-27.646780593500136,-27.58252294198213
2027-06-01 10:00:00,7.575757503509521,0.0,0.0,-32.24973129197939,-32.02835012374377,-3.721438490452435,-0.8105946825844725,-27.646780593500136,-27.58252294198213
2027-06-01 11:00:00,7.575757503509521,0.0,0.0,-32.24973129197939,-32.02835012374377,-3.721438490452435,-0.8105946825844725,-27.646780593500136,-27.58252294198213
2027-06-01 12:00:00,8.278295516967773,0.0,0.0,-5.089132096538172,-0.8537231800957343,-3.721438490452435,-0.8105946825844725,-27.646780593500136,-27.58252294198213
2027-06-01 13:00:00,10.0,0.0,0.0,-5.089132096538172,-0.8537231800957343,-3.721438490452435,-0.8105946825844725,-27.646780593500136,-27.58252294198213
2027-06-01 14:00:00,8.0,0.0,0.0,-5.089132096538172,-0.8537231800957343,0.0,0.0,-2.602182535765195,-2.3869333553697416
2027-06-01 15:00:00,32.11216354370117,0.0,0.0,-5.089132096538172,-0.8537231800957343,0.0,0.0,-2.602182535765195,-2.3869333553697416
2027-06-01 16:00:00,67.12590789794922,72.79687319600806,72.79687319600806,72.79687319600806,72.79687319600806,76.63243634614705,73.0,73.0,73.0
2027-06-01 17:00:00,80.50242614746094,130.97083765821571,86.16,86.16,86.16,110.81232510467412,86.16,86.16,86.16
2027-06-01 18:00:00,81.61779022216797,3000.0,157.87328574550833,99.35,99.35,160.96454194880536,99.35,99.35,99.35
2027-06-01 19:00:00,81.6958999633789,3000.0,3000.0,102.5,147.7463098290727,3000.0,102.5,102.5,102.5
2027-06-01 20:00:00,80.57148742675781,3000.0,3000.0,136.22572971078057,3000.0,156.58439540623152,103.38,103.38,103.38
