created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2025-10-06 23:26:21+02:00,665,DE_LU,Planned maintenance,A03,Cancelled,2023-06-22 01:00:00+02:00,IrsJZEm_laQltkO5OsIEcA,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,2341,MAW,PT1M,3,2023-06-21 22:00:00+02:00
2025-10-06 23:26:25+02:00,668,DE_LU,Planned maintenance,A03,,2023-06-20 10:45:00+02:00,sG5GE8pIfH7yVjQAIjSgkQ,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1,MAW,PT1M,1,2023-06-20 07:00:00+02:00
2025-10-06 23:26:26+02:00,0,DE_LU,Planned maintenance,A03,,2023-06-20 12:15:00+02:00,9G-GddBZUA1iElwKUa0znw,321.0,Fossil Brown coal/Lignite,11WD7WEIS-B-KW-C,intra_zonal,Weisweiler,Weisweiler F,1,MAW,PT1M,5,2023-06-20 11:00:00+02:00
2025-10-06 23:26:29+02:00,0,DE_LU,Planned maintenance,A03,,2023-06-26 15:00:00+02:00,-pLQ5QhS-y7VSZ4V9OOqEQ,106.0,Fossil Hard coal,11WD2BHAS000271O,intra_zonal,KW Hastedt,KW Hastedt BHKW,1,MAW,PT1M,1,2023-06-26 08:00:00+02:00
2025-10-06 23:26:51+02:00,649,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 06:00:00+02:00,d3lSQCdXXK5jZm7gg5IT0A,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1,MAW,PT1M,3,2023-06-20 12:15:00+02:00
2025-10-06 23:26:51+02:00,639,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 16:00:00+02:00,d3lSQCdXXK5jZm7gg5IT0A,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1066,MAW,PT1M,3,2023-06-21 06:00:00+02:00
2025-10-06 23:26:51+02:00,627,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 22:00:00+02:00,d3lSQCdXXK5jZm7gg5IT0A,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1666,MAW,PT1M,3,2023-06-21 16:00:00+02:00
2025-10-06 23:26:51+02:00,665,DE_LU,Planned maintenance,A03,Cancelled,2023-06-22 01:00:00+02:00,d3lSQCdXXK5jZm7gg5IT0A,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,2026,MAW,PT1M,3,2023-06-21 22:00:00+02:00
2025-10-06 23:26:56+02:00,299,DE_LU,Planned maintenance,A03,Cancelled,2023-06-22 01:00:00+02:00,ZkXqltnk3hvNpWF8yKFJcg,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block B,1,MAW,PT1M,2,2023-06-21 22:00:00+02:00
2025-10-06 23:26:56+02:00,367,DE_LU,Planned maintenance,A03,Cancelled,2023-06-22 04:00:00+02:00,ZkXqltnk3hvNpWF8yKFJcg,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block B,181,MAW,PT1M,2,2023-06-22 01:00:00+02:00
2025-10-06 23:26:56+02:00,594,DE_LU,Planned maintenance,A03,Cancelled,2023-06-22 06:00:00+02:00,ZkXqltnk3hvNpWF8yKFJcg,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block B,421,MAW,PT1M,2,2023-06-22 05:00:00+02:00
2025-10-06 23:26:56+02:00,627,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 22:00:00+02:00,-iP1mGCbP-H7LvVkrGLNXA,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,601,MAW,PT1M,2,2023-06-21 16:00:00+02:00
2025-10-06 23:26:56+02:00,639,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 16:00:00+02:00,-iP1mGCbP-H7LvVkrGLNXA,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1,MAW,PT1M,2,2023-06-21 06:00:00+02:00
2025-10-06 23:26:56+02:00,647,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 01:00:00+02:00,5W3lgmHLv8KirQtw_Hxdow,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block A,1,MAW,PT1M,2,2023-06-20 12:15:00+02:00
2025-10-06 23:26:56+02:00,512,DE_LU,Planned maintenance,A03,Cancelled,2023-06-22 05:00:00+02:00,ZkXqltnk3hvNpWF8yKFJcg,755.0,Fossil Brown coal/Lignite,11WD8SWPU1L----5,intra_zonal,KW Schwarze Pumpe,KW Schwarze Pumpe Block B,361,MAW,PT1M,2,2023-06-22 04:00:00+02:00
2025-10-06 23:26:56+02:00,526,DE_LU,Planned maintenance,A03,Cancelled,2023-06-20 21:00:00+02:00,g12__jFL9-6VZgK2D7WmWQ,630.0,Fossil Brown coal/Lignite,11WD8BOXB1L----J,intra_zonal,KW Boxberg,KW Boxberg Block R,1,MAW,PT1M,2,2023-06-20 16:00:00+02:00
2025-10-06 23:26:57+02:00,0,DE_LU,Planned maintenance,A03,,2023-06-20 15:00:00+02:00,Tk0-xhrHy56m52xxKAu0_w,240.0,Hydro Pumped Storage,11WD2W2--0002757,intra_zonal,Waldeck II,Waldeck II M6,1,MAW,PT1M,4,2023-06-20 10:30:00+02:00
2025-10-06 23:27:02+02:00,160,DE_LU,Planned maintenance,A03,Cancelled,2023-06-21 00:00:00+02:00,fTG_AC5I8SV7GcL988Ya9A,264.0,Fossil Gas,11W0-0000-0100-I,intra_zonal,GuD Marzahn,GuD Marzahn,1,MAW,PT1M,2,2023-06-20 23:00:00+02:00
2025-10-06 23:27:02+02:00,323,DE_LU,Planned maintenance,A03,,2023-06-21 16:00:00+02:00,1fkevXO6AzQYGlSS3UdbBA,450.0,Fossil Brown coal/Lignite,11WD8SCHK1L----O,intra_zonal,Schkopau,Schkopau A,1,MAW,PT1M,1,2023-06-21 12:00:00+02:00
2025-10-06 23:27:02+02:00,0,DE_LU,Planned maintenance,A03,,2023-06-20 22:15:00+02:00,j0Gyr_nLNQkicHDIMu7eiw,136.0,Fossil Gas,11WD2SUE2000103B,intra_zonal,Sued GuD2,Sued GuD2 GT62,1,MAW,PT1M,1,2023-06-20 16:15:00+02:00
2025-10-06 23:27:10+02:00,116,DE_LU,Planned maintenance,A03,,2023-06-20 16:45:00+02:00,sD3N5U7YXJMg6QmxqYRiJQ,475.0,Fossil Gas,11WD7EMSL-G-KW-T,intra_zonal,Emsland,Emsland B,1,MAW,PT1M,3,2023-06-20 06:15:00+02:00
2025-10-06 23:27:33+02:00,0,DE_LU,Planned maintenance,A03,,2023-06-20 20:11:00+02:00,AnRgulYdOMe1avzaaWqEdw,250.0,Hydro Water Reservoir,11WD2SILT000157E,intra_zonal,KW Silz,Maschine 2,1,MAW,PT1M,3,2023-06-20 13:00:00+02:00
2025-10-06 23:27:39+02:00,0,DE_LU,Planned maintenance,A03,,2023-06-20 21:45:00+02:00,5GuVR7JzrTM_nutdT64oFQ,505.0,Fossil Hard coal,11WD4DAXLA-S---T,intra_zonal,Rheinhafen-Dampfkraftwerk Karlsruhe,RDK 7,1,MAW,PT1M,2,2023-06-20 06:00:00+02:00
2025-10-06 23:27:46+02:00,729.7,DE_LU,Planned maintenance,A03,,2023-06-22 19:45:00+02:00,QJmm0XhhVtUcZUMEbhogmA,846.0,Fossil Gas,11WD2IRSC000179N,intra_zonal,Irsching,Irsching 5,1,MAW,PT1M,1,2023-06-22 19:30:00+02:00
2025-10-06 23:27:46+02:00,703.6,DE_LU,Planned maintenance,A03,,2023-06-22 19:15:00+02:00,LsHCoURGne56E6myK0uOhg,846.0,Fossil Gas,11WD2IRSC000179N,intra_zonal,Irsching,Irsching 5,361,MAW,PT1M,1,2023-06-22 16:30:00+02:00
2025-10-06 23:27:46+02:00,745.7,DE_LU,Planned maintenance,A03,,2023-06-22 22:00:00+02:00,Wn8bkJI4o93238Hx2dZWNA,846.0,Fossil Gas,11WD2IRSC000179N,intra_zonal,Irsching,Irsching 5,1,MAW,PT1M,1,2023-06-22 20:30:00+02:00
2025-10-06 23:27:46+02:00,741.2,DE_LU,Planned maintenance,A03,,2023-06-22 20:00:00+02:00,QJmm0XhhVtUcZUMEbhogmA,846.0,Fossil Gas,11WD2IRSC000179N,intra_zonal,Irsching,Irsching 5,16,MAW,PT1M,1,2023-06-22 19:45:00+02:00
2025-10-06 23:27:46+02:00,714.2,DE_LU,Planned maintenance,A03,,2023-06-22 16:30:00+02:00,LsHCoURGne56E6myK0uOhg,846.0,Fossil Gas,11WD2IRSC000179N,intra_zonal,Irsching,Irsching 5,181,MAW,PT1M,1,2023-06-22 13:30:00+02:00
2025-10-06 23:27:46+02:00,740.7,DE_LU,Planned maintenance,A03,,2023-06-22 11:00:00+02:00,LsHCoURGne56E6myK0uOhg,846.0,Fossil Gas,11WD2IRSC000179N,intra_zonal,Irsching,Irsching 5,1,MAW,PT1M,1,2023-06-22 10:30:00+02:00
2025-10-06 23:27:46+02:00,728,DE_LU,Planned maintenance,A03,,2023-06-22 13:30:00+02:00,LsHCoURGne56E6myK0uOhg,846.0,Fossil Gas,11WD2IRSC000179N,intra_zonal,Irsching,Irsching 5,31,MAW,PT1M,1,2023-06-22 11:00:00+02:00
2025-10-06 23:27:48+02:00,0,DE_LU,Planned maintenance,A03,,2023-06-21 00:00:00+02:00,CjBYATf7qw5oyS8gcHTfyQ,891.0,Fossil Brown coal/Lignite,11WD8LIPD1L----P,intra_zonal,KW Lippendorf,KW Lippendorf Block S,1,MAW,PT1M,3,2023-06-20 20:00:00+02:00
2025-10-06 23:27:48+02:00,434,DE_LU,Planned maintenance,A03,,2023-06-21 01:00:00+02:00,CjBYATf7qw5oyS8gcHTfyQ,891.0,Fossil Brown coal/Lignite,11WD8LIPD1L----P,intra_zonal,KW Lippendorf,KW Lippendorf Block S,271,MAW,PT1M,3,2023-06-21 00:30:00+02:00
2025-10-06 23:27:48+02:00,597,DE_LU,Planned maintenance,A03,,2023-06-21 01:30:00+02:00,CjBYATf7qw5oyS8gcHTfyQ,891.0,Fossil Brown coal/Lignite,11WD8LIPD1L----P,intra_zonal,KW Lippendorf,KW Lippendorf Block S,301,MAW,PT1M,3,2023-06-21 01:00:00+02:00
2025-10-06 23:27:48+02:00,100,DE_LU,Planned maintenance,A03,,2023-06-21 00:30:00+02:00,CjBYATf7qw5oyS8gcHTfyQ,891.0,Fossil Brown coal/Lignite,11WD8LIPD1L----P,intra_zonal,KW Lippendorf,KW Lippendorf Block S,241,MAW,PT1M,3,2023-06-21 00:00:00+02:00
2025-10-06 23:27:52+02:00,17,DE_LU,Planned maintenance,A03,,2023-06-21 03:04:00+02:00,494WE7W6u-32qzmtNN25iQ,725.0,Fossil Hard coal,11WD7WALS1S--KW0,North Rhine-Westphalia,Walsum,WALSUM_10,1,MAW,PT1M,9,2023-06-18 00:00:00+02:00
