Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jan 1, 2017 11:00 PM;Jan 2, 2017 12:00 AM;-;49.27;29.36;29.36;52.00;49.27;29.36;-;25.76;29.36;53.07;20.00;33.06;52.00;52.00;42.78
Jan 2, 2017 12:00 AM;Jan 2, 2017 1:00 AM;-;42.79;29.40;29.40;54.99;30.54;29.40;-;25.72;29.40;51.85;24.00;30.54;53.00;51.80;24.84
Jan 2, 2017 1:00 AM;Jan 2, 2017 2:00 AM;-;39.66;28.91;28.91;50.18;30.00;28.91;-;19.79;28.91;50.04;23.45;28.91;50.18;32.70;23.45
Jan 2, 2017 2:00 AM;Jan 2, 2017 3:00 AM;-;39.20;28.11;28.11;49.11;33.21;28.11;-;19.10;28.11;48.34;20.89;28.11;49.11;28.11;20.89
Jan 2, 2017 3:00 AM;Jan 2, 2017 4:00 AM;-;37.28;27.89;27.89;45.78;32.05;28.24;-;18.89;27.89;46.89;19.95;27.89;48.15;27.89;19.95
Jan 2, 2017 4:00 AM;Jan 2, 2017 5:00 AM;-;36.63;27.73;28.26;44.99;31.28;29.03;-;20.51;28.26;45.51;22.81;27.73;48.41;27.73;22.81
Jan 2, 2017 5:00 AM;Jan 2, 2017 6:00 AM;-;39.06;30.43;30.43;46.97;31.43;30.43;-;25.71;30.43;46.79;26.15;31.18;48.15;32.60;26.15
Jan 2, 2017 6:00 AM;Jan 2, 2017 7:00 AM;-;44.98;32.85;32.85;52.00;37.99;31.19;-;27.30;32.85;51.29;39.00;37.99;52.00;47.01;44.72
Jan 2, 2017 7:00 AM;Jan 2, 2017 8:00 AM;-;50.74;33.91;33.91;59.07;45.20;31.53;-;31.93;33.91;60.97;50.34;50.98;59.07;57.67;50.34
Jan 2, 2017 8:00 AM;Jan 2, 2017 9:00 AM;-;56.41;34.87;34.87;64.98;46.31;31.86;-;34.87;34.87;61.25;57.00;53.88;64.15;64.15;57.00
Jan 2, 2017 9:00 AM;Jan 2, 2017 10:00 AM;-;59.20;35.22;35.22;65.02;48.84;31.84;-;37.05;35.22;61.04;57.00;53.94;62.50;62.50;60.98
Jan 2, 2017 10:00 AM;Jan 2, 2017 11:00 AM;-;68.49;35.41;35.41;68.49;53.32;31.68;-;37.13;35.41;61.22;58.68;53.54;61.70;61.70;58.68
Jan 2, 2017 11:00 AM;Jan 2, 2017 12:00 PM;-;65.99;35.07;35.07;65.99;54.53;31.67;-;37.73;35.07;61.02;59.05;54.91;61.20;61.20;59.73
Jan 2, 2017 12:00 PM;Jan 2, 2017 1:00 PM;-;65.75;34.85;34.85;65.75;53.82;31.62;-;38.00;34.85;61.25;58.67;54.08;55.69;55.69;58.67
Jan 2, 2017 1:00 PM;Jan 2, 2017 2:00 PM;-;61.72;34.70;34.70;64.98;55.67;31.66;-;37.96;34.70;61.22;60.01;55.67;55.67;55.67;60.01
Jan 2, 2017 2:00 PM;Jan 2, 2017 3:00 PM;-;59.09;34.80;34.80;61.19;55.98;31.68;-;37.55;34.80;60.92;61.27;55.98;61.19;61.19;61.27
Jan 2, 2017 3:00 PM;Jan 2, 2017 4:00 PM;-;58.24;35.93;35.93;59.71;56.00;31.85;-;37.67;35.93;59.97;63.49;56.00;59.71;59.71;63.49
Jan 2, 2017 4:00 PM;Jan 2, 2017 5:00 PM;-;59.98;37.52;37.52;60.96;57.77;31.89;-;39.17;37.52;60.91;67.04;57.77;60.96;60.96;67.04
Jan 2, 2017 5:00 PM;Jan 2, 2017 6:00 PM;-;71.86;38.48;42.20;73.55;67.66;31.85;-;40.01;40.01;66.36;74.09;67.66;73.55;73.55;74.09
Jan 2, 2017 6:00 PM;Jan 2, 2017 7:00 PM;-;75.83;36.88;39.17;77.42;55.10;31.77;-;39.17;39.17;64.53;67.00;55.10;77.42;63.10;67.00
Jan 2, 2017 7:00 PM;Jan 2, 2017 8:00 PM;-;69.05;35.52;35.52;75.00;47.94;31.62;-;38.50;35.52;61.66;63.00;53.92;75.00;63.10;63.00
Jan 2, 2017 8:00 PM;Jan 2, 2017 9:00 PM;-;57.42;35.23;35.23;70.11;40.99;31.46;-;38.25;35.23;61.25;57.00;49.07;70.11;70.11;60.91
Jan 2, 2017 9:00 PM;Jan 2, 2017 10:00 PM;-;54.72;34.74;34.74;61.21;40.25;31.31;-;37.39;34.74;61.24;53.00;40.25;59.69;59.69;60.06
Jan 2, 2017 10:00 PM;Jan 2, 2017 11:00 PM;-;51.12;32.99;32.99;60.10;40.99;31.10;-;32.99;32.99;61.22;46.90;45.92;54.00;54.00;49.93
Jan 2, 2017 11:00 PM;Jan 3, 2017 12:00 AM;-;51.46;30.89;30.94;58.78;36.84;30.89;-;30.94;30.94;60.11;36.00;38.88;52.00;49.00;37.96
Jan 3, 2017 12:00 AM;Jan 3, 2017 1:00 AM;-;52.48;30.65;30.65;54.68;36.02;30.65;-;30.65;30.65;60.61;33.36;36.02;50.56;36.02;33.36
Jan 3, 2017 1:00 AM;Jan 3, 2017 2:00 AM;-;44.75;30.37;30.37;52.74;34.98;30.37;-;30.37;30.37;56.06;34.25;34.98;47.09;34.98;34.25
Jan 3, 2017 2:00 AM;Jan 3, 2017 3:00 AM;-;45.23;30.15;30.15;49.25;33.64;30.15;-;28.93;30.15;53.21;32.39;33.64;44.43;33.64;32.39
Jan 3, 2017 3:00 AM;Jan 3, 2017 4:00 AM;-;41.90;30.14;30.14;45.00;33.62;30.14;-;28.94;30.14;52.96;31.60;33.89;45.00;33.89;31.60
Jan 3, 2017 4:00 AM;Jan 3, 2017 5:00 AM;-;39.93;30.40;30.40;45.18;33.50;30.40;-;29.43;30.40;52.02;31.80;33.50;45.18;33.50;32.81
Jan 3, 2017 5:00 AM;Jan 3, 2017 6:00 AM;-;41.54;30.75;32.24;49.25;33.91;30.75;-;32.24;32.24;53.33;33.20;33.91;46.74;46.74;44.04
Jan 3, 2017 6:00 AM;Jan 3, 2017 7:00 AM;-;48.18;31.02;33.50;57.65;40.90;31.02;-;32.97;33.50;62.94;41.73;48.13;55.00;55.00;59.68
Jan 3, 2017 7:00 AM;Jan 3, 2017 8:00 AM;-;58.29;31.58;35.80;70.51;43.72;31.58;-;35.80;35.80;69.05;52.26;54.61;59.73;59.73;67.59
Jan 3, 2017 8:00 AM;Jan 3, 2017 9:00 AM;-;69.58;31.77;36.78;74.04;54.12;31.77;-;36.78;36.78;72.97;50.84;57.93;61.81;61.81;70.47
Jan 3, 2017 9:00 AM;Jan 3, 2017 10:00 AM;-;75.32;32.96;36.17;75.32;54.94;31.42;-;38.77;36.17;74.37;50.15;57.18;61.81;61.81;70.47
Jan 3, 2017 10:00 AM;Jan 3, 2017 11:00 AM;-;64.62;31.25;35.40;74.65;52.27;31.25;-;41.06;35.40;75.19;47.05;52.27;61.94;61.94;70.47
Jan 3, 2017 11:00 AM;Jan 3, 2017 12:00 PM;-;61.04;30.82;34.92;73.31;49.94;30.82;-;41.32;34.92;74.22;45.96;49.94;63.80;63.80;70.25
Jan 3, 2017 12:00 PM;Jan 3, 2017 1:00 PM;-;60.84;30.50;34.81;72.71;46.30;30.50;-;38.46;34.81;70.17;45.06;46.30;57.49;57.49;69.78
Jan 3, 2017 1:00 PM;Jan 3, 2017 2:00 PM;-;58.75;30.21;34.09;71.69;41.51;30.21;-;37.65;34.09;70.16;51.00;41.51;56.74;56.74;70.25
Jan 3, 2017 2:00 PM;Jan 3, 2017 3:00 PM;-;57.84;30.02;34.25;70.51;40.90;30.02;-;34.65;34.25;70.20;55.00;37.08;60.00;60.00;70.47
Jan 3, 2017 3:00 PM;Jan 3, 2017 4:00 PM;-;57.47;29.71;34.51;69.94;40.90;29.71;-;34.51;34.51;72.27;46.00;37.03;64.01;64.01;71.37
Jan 3, 2017 4:00 PM;Jan 3, 2017 5:00 PM;-;59.63;29.79;34.94;71.11;40.90;29.79;-;35.07;34.94;75.08;48.00;39.08;68.94;68.94;76.19
Jan 3, 2017 5:00 PM;Jan 3, 2017 6:00 PM;-;67.16;29.90;34.59;81.32;45.00;29.90;-;34.94;34.59;84.44;46.63;42.14;67.01;67.01;82.03
Jan 3, 2017 6:00 PM;Jan 3, 2017 7:00 PM;-;137.21;29.78;34.06;137.21;36.67;29.78;-;34.06;34.06;85.92;46.43;36.67;61.99;61.99;83.65
Jan 3, 2017 7:00 PM;Jan 3, 2017 8:00 PM;-;90.17;29.56;32.93;90.17;40.00;29.56;-;32.93;32.93;82.66;46.00;36.03;58.50;58.50;79.34
Jan 3, 2017 8:00 PM;Jan 3, 2017 9:00 PM;-;74.94;29.40;31.80;74.94;40.90;29.40;-;31.80;31.80;77.07;33.45;33.55;60.00;60.00;74.30
Jan 3, 2017 9:00 PM;Jan 3, 2017 10:00 PM;-;48.90;24.56;26.31;71.59;40.90;29.40;-;30.51;30.51;70.71;27.88;24.56;59.48;59.48;70.25
Jan 3, 2017 10:00 PM;Jan 3, 2017 11:00 PM;-;68.73;17.77;17.77;68.73;37.30;29.27;-;25.68;29.27;69.31;24.00;17.77;63.00;63.00;66.06
Jan 3, 2017 11:00 PM;Jan 4, 2017 12:00 AM;-;65.00;0.12;9.49;67.42;32.22;28.46;-;16.70;28.46;66.08;15.50;9.49;56.74;56.74;60.30
Jan 4, 2017 12:00 AM;Jan 4, 2017 1:00 AM;-;39.00;0.11;0.11;62.69;28.90;27.97;-;16.38;25.93;55.60;9.45;8.50;62.36;62.36;56.02
Jan 4, 2017 1:00 AM;Jan 4, 2017 2:00 AM;-;42.70;-0.05;-0.05;56.04;28.88;27.95;-;16.33;25.41;53.59;15.99;-0.05;56.04;56.04;42.50
Jan 4, 2017 2:00 AM;Jan 4, 2017 3:00 AM;-;40.00;-6.27;-6.27;54.10;28.68;27.76;-;16.32;25.35;52.67;15.99;-6.27;54.10;54.10;34.03
Jan 4, 2017 3:00 AM;Jan 4, 2017 4:00 AM;-;34.20;-5.09;-5.09;52.00;28.67;27.75;-;16.33;25.45;52.48;12.19;-5.09;52.00;52.00;34.00
Jan 4, 2017 4:00 AM;Jan 4, 2017 5:00 AM;-;32.20;0.06;0.06;51.36;28.52;27.61;-;16.35;25.97;52.70;9.42;0.06;51.36;51.36;33.25
Jan 4, 2017 5:00 AM;Jan 4, 2017 6:00 AM;-;39.00;10.55;10.55;53.02;28.79;27.87;-;17.22;27.87;53.44;9.50;10.55;53.02;53.02;37.22
Jan 4, 2017 6:00 AM;Jan 4, 2017 7:00 AM;-;37.95;10.98;12.55;62.40;31.33;28.77;-;23.69;28.92;61.08;25.23;10.98;62.40;62.40;57.30
Jan 4, 2017 7:00 AM;Jan 4, 2017 8:00 AM;-;45.56;30.65;30.65;72.32;32.60;29.68;-;30.65;30.65;69.05;40.83;31.63;68.00;68.00;59.68
Jan 4, 2017 8:00 AM;Jan 4, 2017 9:00 AM;-;73.01;30.44;32.13;73.01;42.00;30.44;-;30.75;32.13;71.12;45.00;34.94;73.01;73.01;63.86
Jan 4, 2017 9:00 AM;Jan 4, 2017 10:00 AM;-;73.00;30.44;33.27;73.00;44.00;30.44;-;33.65;33.27;71.38;36.13;33.27;73.00;73.00;64.65
Jan 4, 2017 10:00 AM;Jan 4, 2017 11:00 AM;-;72.85;30.57;33.52;72.85;44.00;30.57;-;33.63;33.52;72.15;36.48;33.52;72.85;72.85;69.73
Jan 4, 2017 11:00 AM;Jan 4, 2017 12:00 PM;-;72.51;30.62;33.93;72.51;44.00;30.62;-;35.87;33.93;71.06;35.10;34.81;72.51;72.51;69.63
Jan 4, 2017 12:00 PM;Jan 4, 2017 1:00 PM;-;71.72;30.75;33.93;71.72;39.94;30.75;-;35.24;33.93;70.61;35.27;35.08;66.42;66.42;68.07
Jan 4, 2017 1:00 PM;Jan 4, 2017 2:00 PM;-;71.59;30.68;33.94;71.59;39.90;30.68;-;36.53;33.94;69.94;35.50;35.88;69.16;69.16;61.22
Jan 4, 2017 2:00 PM;Jan 4, 2017 3:00 PM;-;69.00;30.73;34.15;69.00;38.09;30.73;-;34.15;34.15;67.68;37.00;36.03;69.00;69.00;60.34
Jan 4, 2017 3:00 PM;Jan 4, 2017 4:00 PM;-;67.13;30.84;35.30;67.13;39.94;30.84;-;35.30;35.30;67.40;39.90;36.17;67.13;67.13;61.22
Jan 4, 2017 4:00 PM;Jan 4, 2017 5:00 PM;-;68.26;31.22;36.28;68.26;44.94;31.22;-;37.70;36.28;69.05;49.52;36.58;68.26;68.26;63.86
Jan 4, 2017 5:00 PM;Jan 4, 2017 6:00 PM;-;66.01;31.47;36.81;72.15;66.01;31.47;-;37.79;36.81;72.05;55.30;46.95;72.15;72.15;79.91
Jan 4, 2017 6:00 PM;Jan 4, 2017 7:00 PM;-;63.74;31.29;35.55;76.80;49.45;31.29;-;37.45;35.55;72.96;50.52;49.45;76.80;76.80;67.20
Jan 4, 2017 7:00 PM;Jan 4, 2017 8:00 PM;-;62.22;31.15;34.50;76.16;48.37;31.15;-;37.44;34.50;71.07;50.00;48.37;71.01;71.01;63.86
Jan 4, 2017 8:00 PM;Jan 4, 2017 9:00 PM;-;54.99;31.03;33.89;72.48;38.02;31.03;-;36.93;33.89;66.51;41.60;38.02;69.84;69.84;59.68
Jan 4, 2017 9:00 PM;Jan 4, 2017 10:00 PM;-;49.88;30.96;33.02;66.16;34.55;30.96;-;33.02;33.02;65.08;37.00;34.55;64.74;64.74;51.42
Jan 4, 2017 10:00 PM;Jan 4, 2017 11:00 PM;-;47.61;30.87;32.33;64.98;33.33;30.87;-;32.33;32.33;63.08;34.54;33.33;62.36;62.36;46.02
Jan 4, 2017 11:00 PM;Jan 5, 2017 12:00 AM;-;48.94;30.44;30.44;61.95;32.05;30.44;-;29.86;30.44;60.55;28.50;32.05;61.95;60.62;38.64
Jan 5, 2017 12:00 AM;Jan 5, 2017 1:00 AM;-;42.70;30.51;30.51;51.22;42.70;30.51;-;23.44;30.51;57.96;34.20;36.07;51.22;51.22;34.20
Jan 5, 2017 1:00 AM;Jan 5, 2017 2:00 AM;-;36.32;30.23;30.23;48.41;36.32;30.23;-;23.11;30.23;53.99;33.50;36.32;48.41;48.41;33.50
Jan 5, 2017 2:00 AM;Jan 5, 2017 3:00 AM;-;40.85;30.00;30.00;50.00;30.99;30.00;-;23.04;30.00;52.07;31.78;30.99;50.00;50.00;31.78
Jan 5, 2017 3:00 AM;Jan 5, 2017 4:00 AM;-;39.49;30.06;30.06;47.46;31.06;30.06;-;23.04;30.06;51.01;31.49;30.97;47.46;47.46;31.49
Jan 5, 2017 4:00 AM;Jan 5, 2017 5:00 AM;-;35.64;30.61;30.61;42.34;35.64;30.61;-;24.37;30.61;48.29;33.98;35.64;42.34;42.34;33.98
Jan 5, 2017 5:00 AM;Jan 5, 2017 6:00 AM;-;35.73;28.96;32.45;45.18;35.73;31.13;-;26.91;32.45;49.80;36.97;35.73;45.18;45.18;36.97
Jan 5, 2017 6:00 AM;Jan 5, 2017 7:00 AM;-;39.03;33.82;34.87;54.09;39.03;31.65;-;29.96;34.87;58.40;55.00;39.03;54.09;54.09;55.34
Jan 5, 2017 7:00 AM;Jan 5, 2017 8:00 AM;-;51.42;37.21;42.07;66.21;41.27;33.08;-;31.69;42.07;67.36;60.00;51.70;65.03;65.03;62.20
Jan 5, 2017 8:00 AM;Jan 5, 2017 9:00 AM;-;65.26;38.98;43.38;69.70;57.98;38.98;-;36.87;43.38;70.64;65.08;57.98;68.91;68.91;65.08
Jan 5, 2017 9:00 AM;Jan 5, 2017 10:00 AM;-;63.65;39.01;42.04;72.60;54.11;38.86;-;42.04;42.04;69.98;59.00;54.11;70.49;70.49;66.25
Jan 5, 2017 10:00 AM;Jan 5, 2017 11:00 AM;-;63.22;43.04;43.04;73.03;53.13;33.90;-;43.04;43.04;69.35;57.00;53.13;71.54;71.54;65.50
Jan 5, 2017 11:00 AM;Jan 5, 2017 12:00 PM;-;61.53;44.54;44.54;72.60;50.06;33.40;-;44.54;44.54;69.25;55.60;50.06;70.20;70.20;66.41
Jan 5, 2017 12:00 PM;Jan 5, 2017 1:00 PM;-;61.53;44.56;44.56;72.54;49.97;32.98;-;44.56;44.56;66.28;55.00;49.97;65.00;65.00;66.09
Jan 5, 2017 1:00 PM;Jan 5, 2017 2:00 PM;-;60.44;44.66;44.66;71.51;49.00;32.92;-;44.66;44.66;66.69;56.00;48.84;63.17;63.17;66.23
Jan 5, 2017 2:00 PM;Jan 5, 2017 3:00 PM;-;61.23;44.99;44.99;71.10;50.99;32.90;-;44.99;44.99;66.05;56.00;50.99;67.00;67.00;65.74
Jan 5, 2017 3:00 PM;Jan 5, 2017 4:00 PM;-;64.10;56.10;56.10;70.51;57.48;32.94;-;44.95;56.10;65.92;58.75;57.48;70.51;70.51;68.43
Jan 5, 2017 4:00 PM;Jan 5, 2017 5:00 PM;-;69.70;69.70;69.70;69.70;69.70;35.09;-;49.86;69.70;67.08;65.70;69.70;69.70;69.70;68.13
Jan 5, 2017 5:00 PM;Jan 5, 2017 6:00 PM;-;74.60;73.92;73.92;74.31;74.80;33.98;-;68.95;73.92;73.60;72.91;73.92;73.92;73.92;72.91
Jan 5, 2017 6:00 PM;Jan 5, 2017 7:00 PM;-;114.75;71.99;71.99;96.93;126.60;33.46;-;50.02;71.99;73.08;70.89;73.76;69.20;73.76;70.89
Jan 5, 2017 7:00 PM;Jan 5, 2017 8:00 PM;-;85.88;50.08;50.08;89.53;65.15;32.40;-;49.70;50.08;70.03;67.01;65.15;65.15;65.15;67.74
Jan 5, 2017 8:00 PM;Jan 5, 2017 9:00 PM;-;70.83;44.89;44.89;73.69;64.24;32.23;-;44.89;44.89;66.49;58.00;64.24;64.24;64.24;60.65
Jan 5, 2017 9:00 PM;Jan 5, 2017 10:00 PM;-;56.47;42.05;42.05;71.68;43.09;31.92;-;42.05;42.05;63.00;47.70;43.09;63.30;63.30;47.70
Jan 5, 2017 10:00 PM;Jan 5, 2017 11:00 PM;-;52.78;37.22;37.22;66.76;43.12;31.62;-;36.76;37.22;60.79;47.43;53.11;62.60;62.60;47.43
Jan 5, 2017 11:00 PM;Jan 6, 2017 12:00 AM;-;53.73;33.53;34.65;69.20;37.08;31.42;-;34.64;34.65;60.51;39.00;37.08;65.51;56.00;39.00
Jan 6, 2017 12:00 AM;Jan 6, 2017 1:00 AM;-;52.65;35.84;35.84;59.58;40.84;31.32;-;31.25;35.84;57.04;40.68;40.84;54.42;40.84;40.68
Jan 6, 2017 1:00 AM;Jan 6, 2017 2:00 AM;-;45.19;35.54;35.54;53.98;37.23;31.14;-;30.98;35.54;51.57;40.10;41.15;53.28;41.15;40.10
Jan 6, 2017 2:00 AM;Jan 6, 2017 3:00 AM;-;43.34;34.59;34.59;52.11;37.44;31.10;-;30.97;34.59;48.88;38.50;43.77;50.85;43.77;38.50
Jan 6, 2017 3:00 AM;Jan 6, 2017 4:00 AM;-;42.12;34.28;34.28;48.14;38.00;31.08;-;31.22;34.28;45.37;37.36;39.97;48.14;39.97;37.36
Jan 6, 2017 4:00 AM;Jan 6, 2017 5:00 AM;-;40.51;34.16;34.16;46.74;36.06;31.10;-;31.38;34.16;44.51;37.40;40.81;46.74;40.81;37.40
Jan 6, 2017 5:00 AM;Jan 6, 2017 6:00 AM;-;42.77;32.59;32.59;48.41;38.87;31.33;-;31.32;32.59;46.68;40.10;43.04;48.41;43.04;40.10
Jan 6, 2017 6:00 AM;Jan 6, 2017 7:00 AM;-;44.95;34.32;34.32;53.29;39.46;31.73;-;22.80;34.32;53.06;48.52;45.37;53.29;45.37;48.52
Jan 6, 2017 7:00 AM;Jan 6, 2017 8:00 AM;-;66.55;33.97;49.49;73.28;49.49;32.47;-;25.12;48.30;60.64;58.80;49.49;62.00;49.49;58.80
Jan 6, 2017 8:00 AM;Jan 6, 2017 9:00 AM;-;86.03;34.00;59.92;86.03;53.09;32.77;-;28.65;58.48;63.02;61.54;59.92;59.92;59.92;61.54
Jan 6, 2017 9:00 AM;Jan 6, 2017 10:00 AM;-;86.35;32.50;60.00;76.14;66.47;32.50;-;34.05;34.05;62.98;60.00;60.00;60.00;60.00;60.00
Jan 6, 2017 10:00 AM;Jan 6, 2017 11:00 AM;-;71.01;31.98;60.04;72.86;64.94;31.98;-;34.55;58.60;62.68;58.73;60.04;63.10;60.04;58.73
Jan 6, 2017 11:00 AM;Jan 6, 2017 12:00 PM;-;75.08;31.45;57.70;75.08;57.70;31.45;-;34.58;56.31;62.66;57.02;57.70;59.55;57.70;57.02
Jan 6, 2017 12:00 PM;Jan 6, 2017 1:00 PM;-;84.90;31.27;45.83;84.90;52.86;31.27;-;34.92;34.92;62.04;55.96;52.86;62.00;62.00;55.96
Jan 6, 2017 1:00 PM;Jan 6, 2017 2:00 PM;-;67.36;30.86;45.78;70.99;54.99;30.86;-;38.82;38.82;61.63;53.57;50.05;54.51;54.51;53.57
Jan 6, 2017 2:00 PM;Jan 6, 2017 3:00 PM;-;63.50;30.80;35.49;68.53;53.01;30.80;-;35.49;35.49;61.37;54.04;50.94;63.10;50.94;54.04
Jan 6, 2017 3:00 PM;Jan 6, 2017 4:00 PM;-;65.62;30.57;36.24;65.62;52.40;30.57;-;36.24;36.24;61.61;57.70;54.04;62.61;54.04;57.70
Jan 6, 2017 4:00 PM;Jan 6, 2017 5:00 PM;-;66.21;30.59;56.14;66.21;55.06;30.59;-;40.74;56.14;65.03;65.17;57.52;63.10;57.52;65.17
Jan 6, 2017 5:00 PM;Jan 6, 2017 6:00 PM;-;69.85;30.90;55.62;71.01;66.82;30.90;-;41.89;55.62;68.07;71.30;64.91;71.01;64.91;71.30
Jan 6, 2017 6:00 PM;Jan 6, 2017 7:00 PM;-;169.32;30.71;41.47;169.32;49.00;30.71;-;41.47;41.47;67.26;67.69;59.92;72.30;59.92;67.69
Jan 6, 2017 7:00 PM;Jan 6, 2017 8:00 PM;-;107.85;30.37;35.65;107.85;40.00;30.37;-;35.65;35.65;63.82;61.92;57.99;79.90;57.99;61.92
Jan 6, 2017 8:00 PM;Jan 6, 2017 9:00 PM;-;82.63;30.28;32.13;85.17;43.01;30.28;-;32.13;32.13;61.62;50.97;43.68;72.00;50.00;50.97
